;Aca_cat;Aeq_tet;Ana_sp;Ana_uro;Api_aga;Api_reg;Ast_bim;Bar_ste;Bat_ran;Bra_bee;Bra_bre;Bra_sp.1;Bra_sp.2;Bra_sp.3;Bra_sp.4;Bry_cau;Bry_sp.;Bun_cor;Cal_cal;Car_str;Cha_eth;Cha_sp.;Cha_zeb;Cop_arn;Cor_mel;Cor_sp;Cre_ret;Cre_sax;Cre_spi;Cur_cry;Den_epa;Den_sp.;Eig_sp.;Eig_tri;Ery_ery;Far_ama;Gla_con;Gym_gca;Gym_gco;Gym_gpa;Gym_pet;Gym_sp.;Hel_mar;Hem_bel;Hem_gei;Hem_oce;Hem_rho;Hem_rod;Hem_sp.;Hem_uni;Her_sp.;Hop_cur;Hop_mal;Hyp_ben;Hyp_het;Hyp_lep;Igu_rac;Itu_ama;Itu_sp.;Kno_vic;Lai_str;Mas_aso;Meg_pic;Meg_tho;Mel_dis;Mic_bil;Mic_poe;Mic_wei;Moe_col;Moe_com;Mon_oli;Nan_bec;Nan_nit;Nan_tae;Nan_tri;Oto_mur;Par_sp.;Phe_pec;Pim_ger;Pim_sp.;Poe_sp;Pot_eig;Pot_has;Pyr_bre;Rha_mue;Rha_que;Rha_sp.;Rin_has;Rin_sp.;Sat_jur;Ser_sp.;Ste_ama;Ste_mac;Syn_mar;Tet_wal
UA024;0;16;0;1;0;22;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;33;0;0;0;8;7;0;0;15;0;0;0;0;0;0;0;0;0;0;0;120;0;5;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;4;0;0;0;0;0;0;0;0;0;0;0
UA036;0;0;0;12;0;24;0;0;0;1;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0
UA037;0;8;0;1;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;21;0;0;0;8;4;3;0;10;0;0;0;0;0;0;0;0;0;0;0;66;0;15;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0
UA038;0;4;0;2;0;21;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;2;0;0;2;0;10;0;5;7;0;0;0;0;0;0;0;0;0;0;12;1;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
UA039;0;0;0;2;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;5;0;0;0;3;5;14;0;5;35;0;0;0;0;0;0;0;0;1;0;15;0;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
UA040;0;0;0;4;0;54;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;6;2;39;0;12;1;0;0;0;0;0;0;0;0;0;0;31;0;110;1;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;3;0;0;0;0;0;0;0;14;4;0;0;0;0;0;0;0;0;0;0;0
UA041;0;1;0;1;0;18;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;4;10;5;0;14;0;0;0;0;0;0;0;0;0;9;0;0;0;16;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UA042;0;0;0;13;0;25;0;0;0;0;1;0;8;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;5;0;0;1;9;2;0;0;8;0;0;0;0;0;0;0;0;0;2;0;135;0;0;2;0;0;0;0;0;1;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0
UA043;0;2;0;1;0;58;0;0;2;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;18;0;0;1;0;0;0;4;2;0;0;5;5;44;0;15;3;0;0;0;0;0;0;0;0;0;0;34;2;54;12;0;0;0;6;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
UA044;0;13;0;3;0;27;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;10;0;0;0;15;2;0;0;24;0;0;0;0;0;0;0;0;0;2;0;616;0;0;2;0;0;0;0;0;0;0;0;0;155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0
UA045;0;50;0;9;0;76;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;7;0;0;0;13;1;31;0;7;0;0;0;0;0;0;0;0;0;0;0;110;0;45;6;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0
UA046;0;5;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;1;0;3;0;0;3;0;0;2;0;0;0;8;3;0;0;8;14;6;0;1;13;0;0;0;0;0;0;0;0;6;0;1;2;10;4;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
UA047;0;0;0;32;0;72;0;1;0;0;3;0;25;1;0;0;0;0;1;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;29;0;0;25;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;30;0;0;0;0;0;0;0;0;2;6;4;0;0;0;0;0;0;0;0;0;0
UA048;0;1;0;12;0;56;0;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;21;0;0;0;0;0;0;0;0;0;0;3;0;0;0;10;9;0;0;12;0;0;0;0;0;0;0;0;0;0;0;81;1;6;3;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0
UA049;0;1;0;6;11;1;0;0;0;0;18;0;2;5;0;0;0;0;0;0;1;0;0;96;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;10;0;0;0;0;0;0;1;0;43;0;0;14;0;0;0;0;0;0;0;2;0;92;0;0;0;0;0;55;0;0;0;0;0;1;0;0;17;7;3;0;0;0;0;0;0;0;0;0;0
UA050;0;6;0;1;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;1;0;0;0;0;0;0;20;0;0;0;3;1;5;0;4;0;0;0;0;0;0;0;0;0;0;0;104;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
